hs2,commodity_name
01,Live animals
02,Meat and edible meat offal
03,Fish and crustaceans
04,"Dairy products, eggs, honey"
05,Animal products n.e.s.
06,Live trees and plants
07,Edible vegetables
08,Edible fruit and nuts
09,"Coffee, tea, spices"
10,Cereals
11,Milling products
12,Oil seeds
13,Vegetable extracts
14,Vegetable materials
15,Animal/vegetable oils
16,Prepared meat/fish
17,Sugars
18,Cocoa
19,Cereal preparations
20,Vegetable preparations
21,Misc food preparations
22,Beverages
23,Food residues
24,Tobacco
25,"Salt, sulphur, stone"
26,Ores
27,Mineral fuels
28,Inorganic chemicals
29,Organic chemicals
30,Pharmaceuticals
31,Fertilizers
32,Dyes
33,Essential oils
34,Soap
35,Protein substances
36,Explosives
37,Photographic goods
38,Chemical products
39,Plastics
40,Rubber
41,Leather
42,Leather goods
43,Furskins
44,Wood
45,Cork
46,Straw products
47,Pulp
48,Paper
49,Printed books
50,Silk
51,Wool
52,Cotton
53,Vegetable textile fibers
54,Man-made filaments
55,Man-made staple fibers
56,Wadding
57,Carpets
58,Special fabrics
59,Impregnated textiles
60,Knitted fabrics
61,Apparel (knit)
62,Apparel (non-knit)
63,Other textiles
64,Footwear
65,Headgear
66,Umbrellas
67,Feathers
68,Stone articles
69,Ceramics
70,Glass
71,Precious stones
72,Iron and steel
73,Steel articles
74,Copper
75,Nickel
76,Aluminum
78,Lead
79,Zinc
80,Tin
81,Other metals
82,Metal tools
83,Metal articles
84,Machinery
85,Electrical machinery
86,Railway equipment
87,Vehicles
88,Aircraft
89,Ships
90,Optical instruments
91,Clocks
92,Musical instruments
93,Arms
94,Furniture
95,Toys
96,Misc manufactured
97,Art
98,Special classification provisions
99,Special tariff provisions
