cty_name,duties,value,average_realized_tariff_rate,avg_announced_tariff
AFGHANISTAN,2112097.0,34754800.0,6.077137546468402,11.535427336655657
ALBANIA,11264926.0,110223342.0,10.220091130969337,10.0
ALGERIA,12199854.0,2308515628.0,0.5284717959899382,24.252344684581878
ANDORRA,278550.0,6933540.0,4.017428326655647,10.0
ANGOLA,356592.0,1076901103.0,0.033112789930906036,19.88146689083668
ANGUILLA,18124.0,719085.0,2.520425262660186,10.0
ANTIGUA AND BARBUDA,136077.0,12188481.0,1.1164393659882639,10.0
ARGENTINA,367551927.0,8878639038.0,4.1397327386202045,10.0
ARMENIA,4035412.0,62915805.0,6.413987709447571,10.0
ARUBA,142306.0,9893176.0,1.4384258401953023,10.0
AUSTRALIA,818086317.0,29032228640.0,2.8178557255947543,10.0
AZERBAIJAN,23594326.0,128526429.0,18.357567531888712,10.0
BAHAMAS,10274030.0,2598919251.0,0.3953193234474987,10.0
BAHRAIN,206747792.0,1204962881.0,17.158021650295137,10.0
BANGLADESH,2234416716.0,9581130986.0,23.321012094135252,23.233624907254764
BARBADOS,2430364.0,45800410.0,5.306424112797243,10.0
BELARUS,1826374.0,19079633.0,9.572374898406064,10.0
BELIZE,10249727.0,57662357.0,17.7754214937832,10.0
BENIN,1462035.0,40561627.0,3.6044781931454573,10.0
BERMUDA,167617.0,47367233.0,0.35386698648831777,10.0
BHUTAN,33287.0,6149437.0,0.5413015858199701,10.0
BOLIVIA,11427568.0,621888269.0,1.8375596662042841,12.188637312918987
BOSNIA AND HERZEGOVINA,21929125.0,165705992.0,13.233754999034675,27.851381288613872
BOTSWANA,5631466.0,189206124.0,2.9763656064324855,18.11023839799181
BRAZIL,3634596642.0,39926316222.0,9.103260670958877,10.0
BRITISH INDIAN OCEAN TERRITORIES,131.0,5775.0,2.2683982683982684,10.0
BRITISH VIRGIN ISLANDS,311602.0,13698067.0,2.2747881142645894,10.0
BRUNEI,3573568.0,106128049.0,3.367222928973282,20.264121401119887
BURKINA FASO,19980.0,5074746.0,0.39371428638990014,10.0
BURMA,171796865.0,759999772.0,22.60485743935197,10.0
BURUNDI,265969.0,8149025.0,3.2638137691318905,10.0
CABO VERDE,261940.0,5969879.0,4.38769361992094,10.0
CAMBODIA,2757819636.0,15384270098.0,17.9262299636726,26.575025497904516
CAMEROON,9672783.0,282253916.0,3.4269792026552435,12.893170144714661
CANADA,9270136995.0,383148262483.0,2.4194647092811254,10.0
CAYMAN ISLANDS,336667.0,40587100.0,0.8294926220400077,10.0
CENTRAL AFRICAN REPUBLIC,351.0,1078135.0,0.03255621976839635,10.0
CHAD,1720747.0,16579837.0,10.378551972495266,13.988394095792378
CHILE,502690112.0,18941982998.0,2.653841005205616,10.0
CHINA,91762184825.0,299657101173.0,30.622396220813485,25.735150323535365
CHRISTMAS ISLAND,264.0,72078.0,0.3662698743028386,10.0
COCOS (KEELING) ISLANDS,5358.0,173444.0,3.0891815225663617,10.0
COLOMBIA,552507899.0,17662311605.0,3.128174337291113,10.0
COMOROS,22631.0,807918.0,2.801150611819516,10.0
CONGO (BRAZZAVILLE),64960.0,104197322.0,0.06234325292928354,10.0
CONGO (KINSHASA),1436545.0,1962980889.0,0.07318181282609522,10.0
COOK ISLANDS,8711.0,320940.0,2.714214494921169,10.0
COSTA RICA,538070695.0,13400472969.0,4.015311222557193,12.063218590788532
COTE D'IVOIRE,61547346.0,1901225996.0,3.2372451317986295,10.0
CUBA,0.0,17524688.0,0.0,10.0
CURACAO,498860.0,54030316.0,0.9232964693376955,10.0
CZECH REPUBLIC,678643241.0,8214669684.0,8.261357633427638,10.0
DJIBOUTI,65935.0,49280859.0,0.13379433990791434,10.0
DOMINICA,5628.0,2212556.0,0.2543664431544332,10.0
DOMINICAN REPUBLIC,440394683.0,7528336779.0,5.849827072408127,10.0
ECUADOR,415060883.0,9359841624.0,4.4344861769426025,10.826040455660598
EGYPT,156287864.0,2871578178.0,5.442577367294647,10.0
EL SALVADOR,179731654.0,2309814275.0,7.781216695441888,10.0
EQUATORIAL GUINEA,27396.0,95560297.0,0.028668810018453585,12.569521346297197
ERITREA,3403.0,171297.0,1.9866080550155578,10.0
ESWATINI,2176020.0,25279352.0,8.607894696034931,10.0
ETHIOPIA,92019219.0,1026086817.0,8.967975952467578,10.0
EUROPEAN UNION,34809962144.0,619459272041.0,5.619410946793616,
FALKLAND ISLANDS (ISLAS MALVINAS),0.0,20873822.0,0.0,10.0
FAROE ISLANDS,19043219.0,268035697.0,7.104732396894134,10.0
FIJI,14886658.0,206940831.0,7.193678467445605,20.01562801301402
FRENCH GUIANA,18884.0,1417153.0,1.3325307853139357,10.0
FRENCH POLYNESIA,1261571.0,44836115.0,2.8137384338495877,10.0
FRENCH SOUTHERN AND ANTARCTIC LANDS,0.0,1398.0,0.0,10.0
GABON,1999635.0,566374282.0,0.35305893356224105,10.0
GAMBIA,44184.0,693655.0,6.369737117154782,10.0
GAZA STRIP ADMINISTERED BY ISRAEL,1024.0,8626.0,11.871087410155344,10.0
GEORGIA,6731137.0,104731333.0,6.427051778286828,10.0
GHANA,35482325.0,1290010272.0,2.7505459274358395,11.186417703966933
GIBRALTAR,292.0,692463.0,0.042168318018435645,10.0
GREENLAND,1668036.0,29399421.0,5.67370357395814,10.0
GRENADA,722471.0,13727523.0,5.26293782206739,10.0
GUADELOUPE,167679.0,5407605.0,3.100799707079197,10.0
GUATEMALA,368934522.0,5176180546.0,7.127543537582007,10.0
GUINEA,148213.0,9671324.0,1.5324995833042094,10.0
GUINEA-BISSAU,1822.0,13468.0,13.52836352836353,10.0
GUYANA,5753294.0,5188360526.0,0.11088847760615315,23.27741585011049
HAITI,32303621.0,522260365.0,6.185347992088199,10.0
HEARD AND MCDONALD ISLANDS,0.0,1524.0,0.0,10.0
HONDURAS,430162417.0,5414746401.0,7.94427633620214,10.0
HONG KONG,139008637.0,4907742663.0,2.8324353281194035,10.0
ICELAND,35862058.0,1007216953.0,3.5605097683458076,11.983456572141314
INDIA,9975488060.0,103899853137.0,9.601060789611076,21.230364580597048
INDONESIA,4421307397.0,34838316816.0,12.690932860939627,21.557374759766866
IRAN,470.0,1383558.0,0.03397038649626542,10.0
IRAQ,3467920.0,6278841723.0,0.05523184295754226,30.54057442403219
ISRAEL,672315580.0,20054210359.0,3.3524909132025527,14.075655616194288
JAMAICA,15885300.0,379520500.0,4.185623701486481,10.0
JAPAN,15787513207.0,144539177291.0,10.922653292273193,16.75520443215361
JORDAN,202163888.0,3088833224.0,6.544992019290712,15.205059561027307
KAZAKHSTAN,16944196.0,4132256677.0,0.41004703542039916,14.723065594552853
KENYA,70449307.0,852776749.0,8.261166487314723,10.0
KIRIBATI,56852.0,1306752.0,4.35063424429425,10.0
"KOREA, NORTH",0.0,0.0,0.0,0.0
"KOREA, SOUTH",11147675828.0,123710046249.0,9.011132212789153,10.0
KOSOVO,1195826.0,12183973.0,9.814745978179696,10.0
KUWAIT,1789270.0,1399964304.0,0.12780825874543156,10.0
KYRGYZSTAN,1358757.0,31607265.0,4.298875590785853,10.0
LAOS,315397048.0,2102014787.0,15.004511383582383,38.58945487237431
LEBANON,11716124.0,217599192.0,5.384268154819251,10.0
LESOTHO,11252584.0,170367307.0,6.604896325560866,24.90388722291654
LIBERIA,964990.0,72168108.0,1.3371418854433597,10.0
LIBYA,1062121.0,1882979286.0,0.05640640913561276,26.017452369892933
LIECHTENSTEIN,31691025.0,232031700.0,13.65805836012924,21.641067336919914
MACAU,10856146.0,129360578.0,8.392159472262097,10.0
MADAGASCAR,51840348.0,698572316.0,7.420899284534488,24.891602996188585
MALAWI,1854922.0,43551248.0,4.259170713087258,14.068878324680846
MALAYSIA,3093099977.0,57683667472.0,5.3621763534737275,18.440606341116176
MALDIVES,199403.0,5107157.0,3.904383593455224,10.0
MALI,213385.0,5596104.0,3.8130992561968116,10.0
MARSHALL ISLANDS,1492453.0,24365783.0,6.12520024495006,10.0
MARTINIQUE,74454.0,6705359.0,1.1103656045858246,10.0
MAURITANIA,14309.0,704205.0,2.031936722971294,10.0
MAURITIUS,10053078.0,189318846.0,5.310130614254853,24.548745295014104
MAYOTTE,3113.0,117034.0,2.6599107951535452,10.0
MEXICO,19821851990.0,533819815752.0,3.7132102265774187,10.0
MICRONESIA,10276.0,651540.0,1.57718635847377,10.0
MOLDOVA,14070080.0,90595532.0,15.530655529458121,23.335915417992137
MONACO,2110205.0,41299395.0,5.109530054859157,10.0
MONGOLIA,2092042.0,43933768.0,4.761808729904524,10.0
MONTENEGRO,728170.0,10470290.0,6.954630674030997,10.0
MONTSERRAT,901.0,386796.0,0.23293932719056037,10.0
MOROCCO,169312253.0,1732863845.0,9.770661064256899,10.0
MOZAMBIQUE,2684484.0,150850405.0,1.7795669822696198,12.649217050494494
NAMIBIA,2721518.0,251236697.0,1.0832485988302896,14.042532114645656
NAURU,2283.0,165957.0,1.3756575498472496,11.557843296757595
NEPAL,9848535.0,123730821.0,7.959645721578134,10.0
NEW CALEDONIA,134749.0,30976669.0,0.4350015813514358,10.0
NEW ZEALAND,426498708.0,5575583581.0,7.649400314854684,11.917690066818496
NICARAGUA,463287282.0,4971759341.0,9.318377061807185,16.13005652559803
NIGER,250712.0,3054243.0,8.208646135883752,10.0
NIGERIA,17461684.0,5194745880.0,0.3361412550944648,13.478154287115967
NIUE,227.0,778164.0,0.02917122868701199,10.0
NORFOLK ISLAND,0.0,1756.0,0.0,10.0
NORTH MACEDONIA,30515478.0,293818621.0,10.385821666489953,20.103454596909295
NORWAY,318164091.0,6685225503.0,4.759212547986954,13.57459651425015
OMAN,155005333.0,1123221130.0,13.800072742577413,10.0
PAKISTAN,1007257964.0,5472701175.0,18.40513362215506,20.194955827822994
PALAU,6181.0,413783.0,1.4937781397495788,10.0
PANAMA,18616778.0,659227406.0,2.824029740049976,10.0
PAPUA NEW GUINEA,4521467.0,78566895.0,5.754926422890964,12.717375492565921
PARAGUAY,64608591.0,477042255.0,13.5435782308215,10.0
PERU,490606323.0,10736966075.0,4.569319857891048,10.0
PHILIPPINES,1169290339.0,16213926791.0,7.211641905581119,16.17762965604351
PITCAIRN ISLANDS,0.0,2302.0,0.0,10.0
QATAR,29687080.0,2034987659.0,1.4588334169352326,10.0
REUNION,2058432.0,32340938.0,6.3647875642938985,10.0
RUSSIA,32444244.0,3735722506.0,0.8684864560440668,10.0
RWANDA,961633.0,43507224.0,2.210283515215772,10.0
SAMOA,336720.0,4590076.0,7.335826247757117,10.0
SAN MARINO,2223670.0,25790776.0,8.6219584862433,10.0
SAO TOME AND PRINCIPE,118.0,198225.0,0.05952831378484046,10.0
SAUDI ARABIA,116160117.0,10259270348.0,1.1322454040081409,10.0
SENEGAL,4247141.0,217718902.0,1.950745186102399,10.0
SERBIA,134607047.0,938436451.0,14.343757305735771,29.938966333906823
SEYCHELLES,231334.0,5099599.0,4.5363174633927095,10.0
SIERRA LEONE,610469.0,50400933.0,1.2112255937801786,10.0
SINGAPORE,602391957.0,36100114292.0,1.6686704981803717,10.0
SINT MAARTEN,84563.0,133251103.0,0.06346138838340422,10.0
SOLOMON ISLANDS,72202.0,1601178.0,4.5093050241759505,10.0
SOMALIA,1791.0,700754.0,0.25558184469871026,10.0
SOUTH AFRICA,280537082.0,15930076464.0,1.7610529530977397,21.250895951757183
SOUTH SUDAN,0.0,2215076.0,0.0,10.0
SRI LANKA,620330728.0,3211085653.0,19.318411124301456,25.15818491497586
ST HELENA,45417.0,6004513.0,0.7563810753678109,10.0
ST KITTS AND NEVIS,756066.0,20036733.0,3.773399585651014,10.0
ST LUCIA,298913.0,12691148.0,2.3552873231011096,10.0
ST PIERRE AND MIQUELON,0.0,18158.0,0.0,10.0
ST VINCENT AND THE GRENADINES,181402.0,6359836.0,2.8523062544380076,10.0
SUDAN,0.0,12733027.0,0.0,10.0
SURINAME,3661558.0,69244771.0,5.287847655673524,10.0
"SVALBARD, JAN MAYEN ISLAND",78.0,19172.0,0.4068433131650323,10.0
SWITZERLAND,2405443453.0,105938450084.0,2.2706047248120886,19.334245582873105
SYRIA,761497.0,7559182.0,10.073801636208787,31.772811132209807
TAIWAN,5729691872.0,198324693978.0,2.889046117794887,22.31096580053133
TAJIKISTAN,2359.0,562363.0,0.41947994444869235,10.0
TANZANIA,9897406.0,241128285.0,4.104622566365451,10.0
THAILAND,6010313274.0,90935096762.0,6.60945387206273,22.70761347052186
TIMOR-LESTE,7.0,12034351.0,5.816682594682505e-05,10.0
TOGO,2620104.0,81245073.0,3.224938944913004,10.0
TOKELAU,0.0,101837.0,0.0,10.0
TONGA,174368.0,3190206.0,5.4657285454293545,10.0
TRINIDAD AND TOBAGO,113173295.0,2755722006.0,4.106847307296932,11.898553373166335
TUNISIA,117372605.0,1016224811.0,11.549866105365144,22.445897142143284
TURKEY,1911808041.0,16514716904.0,11.576390029047028,12.074405257997634
TURKMENISTAN,729826.0,39434938.0,1.850709135132912,10.0
TURKS AND CAICOS ISLANDS,246297.0,8494858.0,2.899365710409756,10.0
TUVALU,0.0,16763.0,0.0,10.0
UGANDA,12511424.0,198524100.0,6.302219226784053,11.93390920800044
UKRAINE,120732400.0,1435038198.0,8.41318371652153,10.0
UNITED ARAB EMIRATES,759037873.0,7451751983.0,10.186032422061624,10.0
UNITED KINGDOM,3186839260.0,65500642368.0,4.865355735132323,10.0
URUGUAY,210210865.0,1577128614.0,13.328707825980768,10.0
UZBEKISTAN,5218246.0,580811159.0,0.8984410714464252,10.0
VANUATU,1439613.0,17095779.0,8.420868098493786,15.791122943271553
VATICAN CITY,0.0,10537.0,0.0,10.0
VENEZUELA,32160512.0,4065885433.0,0.790984215614518,12.702963576101334
VIETNAM,17393375452.0,197742856146.0,8.795956420877173,26.4166816022884
WALLIS AND FUTUNA,37.0,70061.0,0.05281112173677224,10.0
WEST BANK ADMINISTERED BY ISRAEL,62741.0,5088600.0,1.2329717407538419,10.0
YEMEN,387162.0,7536459.0,5.137187106040118,10.0
ZAMBIA,2699138.0,319057332.0,0.8459727231718969,14.787237501879442
ZIMBABWE,6570990.0,80281302.0,8.184956940533924,14.33853843077931
